LastUsedTimeStop	Access	Capability	AppIdentifier	AppName	UserSID
2025-04-18 21:54:34	Access OK	location	C:\Windows\explorer.exe	Windows Explorer	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 21:54:55	Access OK	location	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	NVIDIA Share	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 21:54:55	Access OK	location	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	NVIDIA Share	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 21:54:57	Access OK	location	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	NVIDIA Share	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 21:54:58	Access OK	location	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	NVIDIA Share	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 21:54:58	Access OK	location	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	NVIDIA Share	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 21:55:11	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 21:55:53	Access OK	location	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Notification.exe	NVIDIA Notification	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 21:55:54	Access OK	location	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Notification.exe	NVIDIA Notification	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 21:56:49	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 21:56:52	Access OK	graphicsCaptureWithoutBorder	Microsoft.ScreenSketch_8wekyb3d8bbwe	Snipping Tool	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 21:57:39	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 21:57:39	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 21:58:20	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 21:58:20	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 21:59:32	Access OK	location	C:\Windows\System32\dllhost.exe	COM Surrogate	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 21:59:32	Access OK	location	C:\Windows\System32\dllhost.exe	COM Surrogate	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 21:59:32	Access OK	location	C:\Windows\System32\dllhost.exe	COM Surrogate	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 21:59:32	Access OK	location	C:\Windows\System32\dllhost.exe	COM Surrogate	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 21:59:32	Access OK	location	C:\Windows\System32\dllhost.exe	COM Surrogate	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 21:59:32	Access OK	location	C:\Windows\System32\dllhost.exe	COM Surrogate	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 21:59:32	Access OK	location	C:\Windows\System32\dllhost.exe	COM Surrogate	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 22:02:22	Access OK	graphicsCaptureWithoutBorder	Microsoft.ScreenSketch_8wekyb3d8bbwe	Snipping Tool	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 22:04:45	Access OK	graphicsCaptureWithoutBorder	Microsoft.ScreenSketch_8wekyb3d8bbwe	Snipping Tool	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 22:06:02	Access OK	graphicsCaptureWithoutBorder	Microsoft.ScreenSketch_8wekyb3d8bbwe	Snipping Tool	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 22:06:39	Access OK	graphicsCaptureWithoutBorder	Microsoft.ScreenSketch_8wekyb3d8bbwe	Snipping Tool	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 22:07:23	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 22:07:24	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 22:07:38	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 22:07:39	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 22:12:17	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 22:17:40	Access OK	graphicsCaptureWithoutBorder	Microsoft.ScreenSketch_8wekyb3d8bbwe	Snipping Tool	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 22:30:20	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-18 22:59:19	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001
